id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<China NP period1>	weight<China NP period2>	weight<China NP period3>	weight<China NP period4>	weight<China NP R10 period1>	weight<China NP R10 period2>	weight<China NP R10 period3>	weight<China NP R10 period4>	weight<China NP R001 period1>	weight<China NP R001 period2>	weight<China NP R001 period3>	weight<China NP R001 period4>	weight<USA NP period1>	weight<USA NP period2>	weight<USA NP period3>	weight<USA NP period4>	weight<USA NP R10 period1>	weight<USA NP R10 period2>	weight<USA NP R10 period3>	weight<USA NP R10 period4>	weight<USA NP R001 period1>	weight<USA NP R001 period2>	weight<USA NP R001 period3>	weight<USA NP R001 period4>	weight<Japan NP period1>	weight<Japan NP period2>	weight<Japan NP period3>	weight<Japan NP period4>	weight<Japan NP R10 period1>	weight<Japan NP R10 period2>	weight<Japan NP R10 period3>	weight<Japan NP R10 period4>	weight<Japan NP R001 period1>	weight<Japan NP R001 period2>	weight<Japan NP R001 period3>	weight<Japan NP R001 period4>	weight<Germany NP period1>	weight<Germany NP period2>	weight<Germany NP period3>	weight<Germany NP period4>	weight<Germany NP R10 period1>	weight<Germany NP R10 period2>	weight<Germany NP R10 period3>	weight<Germany NP R10 period4>	weight<Germany NP R001 period1>	weight<Germany NP R001 period2>	weight<Germany NP R001 period3>	weight<Germany NP R001 period4>	weight<South Korea NP period1>	weight<South Korea NP period2>	weight<South Korea NP period3>	weight<South Korea NP period4>	weight<South Korea NP R10 period1>	weight<South Korea NP R10 period2>	weight<South Korea NP R10 period3>	weight<South Korea NP R10 period4>	weight<South Korea NP R001 period1>	weight<South Korea NP R001 period2>	weight<South Korea NP R001 period3>	weight<South Korea NP R001 period4>	weight<United Kingdom NP period1>	weight<United Kingdom NP period2>	weight<United Kingdom NP period3>	weight<United Kingdom NP period4>	weight<United Kingdom NP R10 period1>	weight<United Kingdom NP R10 period2>	weight<United Kingdom NP R10 period3>	weight<United Kingdom NP R10 period4>	weight<United Kingdom NP R001 period1>	weight<United Kingdom NP R001 period2>	weight<United Kingdom NP R001 period3>	weight<United Kingdom NP R001 period4>	weight<Taiwan NP period1>	weight<Taiwan NP period2>	weight<Taiwan NP period3>	weight<Taiwan NP period4>	weight<Taiwan NP R10 period1>	weight<Taiwan NP R10 period2>	weight<Taiwan NP R10 period3>	weight<Taiwan NP R10 period4>	weight<Taiwan NP R001 period1>	weight<Taiwan NP R001 period2>	weight<Taiwan NP R001 period3>	weight<Taiwan NP R001 period4>	weight<NP focus2 sum period1>	weight<NP R10 focus2 sum period1>	weight<NP R001 focus2 sum period1>	weight<NP focus2 sum period2>	weight<NP R10 focus2 sum period2>	weight<NP R001 focus2 sum period2>	weight<NP focus2 sum period3>	weight<NP R10 focus2 sum period3>	weight<NP R001 focus2 sum period3>	weight<NP focus2 sum period4>	weight<NP R10 focus2 sum period4>	weight<NP R001 focus2 sum period4>	weight<NP ALL>	score<ratio NP period1>	score<ratio NP R10 period1>	score<ratio NP R001 period1>	score<ratio NP period2>	score<ratio NP R10 period2>	score<ratio NP R001 period2>	score<ratio NP period3>	score<ratio NP R10 period3>	score<ratio NP R001 period3>	score<ratio NP period4>	score<ratio NP R10 period4>	score<ratio NP R001 period4>	score<diff top10 period1>	score<diff top10 period2>	score<diff top10 period3>	score<diff top10 period4>	score<diff top1 period1>	score<diff top1 period2>	score<diff top1 period3>	score<diff top1 period4>	score<avgyr>
4H-SiC	0.6421	-0.1497	2	99	114.0165	237	349	614	1658	7.475	14.78	44.82	167.9473	0.09	0	1	12.29	1292	608	491	695	204.1468	108.2533	88.445	144.7655	24.665	18.72	6.2	17.8	911	414	488	784	70.125	54.5667	45.82	47.6993	7.52	6.13	1.91	4	682	212	171	215	60.4346	17.4667	20	30.4866	7.38	1	1	4	221	122	108	190	9	3	2	6	0	0	2	0	238	120	127	282	27	17.7	33.82	52.1133	1.62	2	5.26	10.97	51	75	67	108	2	1	3	2	0	0	0	0	1529	211.6218	24.755	957	123.0333	18.72	1105	133.265	7.2	2353	312.7129	30.09	15052	0.845	0.9647	0.9964	0.6353	0.8799	1	0.4443	0.6637	0.8611	0.2954	0.4629	0.5916	12.6468	13.5699	10.7136	10.7001	1.8711	3.0789	1.0999	1.8199	2010.473625
ADC	1.398	-0.0354	2	99	61.4339	57	126	448	871	8.8	9	42	70.0532	2	1	2.695	5.3767	656	540	523	508	105.5667	96.65	86.575	90.8418	13.56	9.53	13.76	9.9517	192	171	135	88	10.6333	10	9	7	1	1	1.76	0	44	35	50	61	8	3	6.425	7	1	1	0	0.57	66	142	188	267	2	9.5167	19.3	18.2635	0	4	4	0.765	98	95	59	59	3.6667	5.8667	2	4.1273	0	0	0	1	136	202	239	178	14.7333	19.5167	22.05	27.7189	0	2	1.685	4	713	114.3667	15.56	666	105.65	10.53	971	128.575	16.455	1379	160.895	15.3283	11632	0.9201	0.9231	0.8715	0.8108	0.9148	0.905	0.5386	0.6733	0.8362	0.3684	0.5646	0.6492	0.6539	10.7553	7.1785	9.8394	-1.4417	0.9712	2.0294	1.3417	2011.548143
Analog Circuits	1.3102	-0.1555	2	99	62.5282	11	12	12	77	1	1	0.6	9.4667	0	0.31	0	1.73	37	26	21	74	5.75	3.3	1	8.7333	0.33	0.39	0	2.72	12	7	2	2	0	0	0	0	0	0	0	0	6	7	8	14	0	1	1.8	0	0	0.23	0	0	11	6	8	9	0	0	0.8	0	0	0	0	0	14	4	6	13	2	0	1	1.7333	0.3	0	0.27	0	5	7	5	6	0	0	0.35	0	0	0	0	0	48	6.75	0.33	38	4.3	0.7	33	1.6	0	151	18.2	4.45	883	0.7708	0.8519	1	0.6842	0.7674	0.5571	0.6364	0.625		0.4901	0.4799	0.6112	6.4496	4.359	-0.2381	-0.4926	0.8919	-1.0833	0	1.4289	2013.254813
Atomic Force Microscope	-0.4855	-0.2726	4	99	117.5175	277	421	639	1155	15	25.46	54.75	118.544	1.11	0	4	14.5267	1450	1415	1223	1087	222.385	217.0133	185.82	167.5842	20.16	25.0733	17.98	18.2933	778	580	395	447	27.8417	28	36.64	57.3567	3.64	7.14	4	6.71	623	582	527	625	99.82	73.82	55.72	71.4669	9	9.1967	3.98	4.8	144	220	204	223	7.7667	6	10	14.1126	0	0	1	2	343	298	270	321	53	26.6	29.3	37.3983	3.92	2	3	5.0267	62	109	93	71	4	1	3	4.1206	0	0	0	0	1727	237.385	21.27	1836	242.4733	25.0733	1862	240.57	21.98	2242	286.1282	32.82	18792	0.8396	0.9368	0.9478	0.7707	0.895	1	0.6568	0.7724	0.818	0.4848	0.5857	0.5574	9.9217	9.2891	6.6257	5.1536	0.9896	1.772	0.8442	0.4252	2010.461792
Atomic Layer Deposition	-0.4698	-0.3532	1	99	118.3772	36	65	183	269	0	3	15	26.3521	0	1	1.99	5	320	316	418	520	48.65	56	59.8667	70.9464	7.18	4.19	5.02	6.02	102	71	64	92	5	0	2	4.0786	0	0	0	0	54	88	141	205	2	11	18.9	21.0957	0	2	1.02	2	168	182	216	343	11.15	12.4	16.8667	33.1914	0	1.19	3	1.62	32	25	36	44	6	2	7	10.0786	0	1	0	2	43	32	39	50	1	3	0	4.0786	0	0	0	1.62	356	48.65	7.18	381	59	5.19	601	74.8667	7.01	789	97.2986	11.02	5627	0.8989	1	1	0.8294	0.9492	0.8073	0.6955	0.7996	0.7161	0.6591	0.7292	0.5463	15.2031	13.1061	6.1254	3.8472	2.2437	-0.2125	0.1135	-0.701	2012.261418
Beta-FeSi2	-0.1861	-0.0537	3	99	118.8339	202	144	130	95	9	9	10	8.15	0	0	1	1.56	220	158	77	66	47.6	24.7	11.9	10.68	7.37	3.495	0	1	365	260	167	162	58.2833	35.85	35.825	37.98	5.21	5.295	6.63	4.7	211	68	47	50	16.1	8.0333	6	1.2	0.21	0	0	0	155	95	46	36	6.3667	1	0	1	0	0	0	0	76	30	18	9	9.8667	1	2.9	0	0	0	0	0	113	66	57	33	3.3	3	2.275	0	1	0	0	0	422	56.6	7.37	302	33.7	3.495	207	21.9	1	161	18.83	2.56	4222	0.5213	0.841	1	0.5232	0.7329	1	0.372	0.5434	0	0.4099	0.5672	0.3906	17.1809	9.3829	7.7622	7.6029	3.35	2.212	-0.7692	-0.127	2008.080531
Beta-Ga2O3	-0.2051	-0.2467	3	99	124.016	48	91	113	996	8	4.1	9	129.691	1.23	0	1.33	17.33	56	71	59	739	6.95	10	11	102.244	1.55	1.62	0.33	11.32	52	69	116	394	12.05	21	28	36.548	1.24	2.61	2.54	5.1	63	24	60	216	7.4	3	8	20.024	0	0	1.91	0	37	34	40	258	3	0	1.4	20.398	0	0	0	2	2	18	12	63	0	1.1	1	3	0	0	0	0	32	60	62	115	3	2	3	3.448	0	0	0	0	104	14.95	2.78	162	14.1	1.62	172	20	1.66	1735	231.935	28.65	4300	0.5385	0.4649	0.5576	0.4383	0.7092	1	0.343	0.55	0.1988	0.4259	0.4408	0.3951	-4.256	9.579	10.6795	0.8143	0.2054	2.2817	-0.6177	-0.2082	2016.05093
Bonding	0.3607	-0.0468	2	99	125.9234	36	83	165	291	2	8	8.8	32.2583	0.63	0	0.78	5.43	104	74	39	98	14.2333	5.6	4	8.25	0	0.67	0	0	44	47	50	130	6	9.7	9.5	23.2958	0.8	2.25	0.96	3.08	45	41	19	41	3.5	3.9	2	1.125	0.65	0	0	0	17	20	8	40	1	0	0	2.1875	0	0	0	0	18	13	11	17	1	2	3	2.0625	0	0	0	1	14	12	6	40	0	0	0	5.3125	0	0	0	0	140	16.2333	0.63	157	13.6	0.67	204	12.8	0.78	389	40.5083	5.43	1891	0.7429	0.8768	0	0.4713	0.4118	1	0.1912	0.3125	0	0.2519	0.2037	0	8.1303	-2.071	4.9231	-2.667	-1.75	0.9054	-0.4727	-1.866	2012.521946
Boron Nitride	-0.6582	-0.3345	1	99	114.4244	282	479	659	2289	17.15	39.6	80.625	362.6186	2.25	1.5	6.03	47.25	172	213	272	657	37.2	39	45	86.58	5.97	6.74	9.32	16.81	328	221	197	264	40.15	32.2	31.3	29.1286	1.27	4.14	4.32	1	160	74	57	115	8.2	7	3.825	7	0	1	1	0.13	56	36	123	357	4	4.6	16.325	28.0371	0	1	2	0	30	21	37	100	3	5	3	9	1	0	0	0	13	30	33	67	2	3	4	6.15	0	0	0	0	454	54.35	8.22	692	78.6	8.24	931	125.625	15.35	2946	449.1986	64.06	10004	0.3789	0.6845	0.7263	0.3078	0.4962	0.818	0.2922	0.3582	0.6072	0.223	0.1927	0.2624	15.5463	10.0426	4.3097	-2.6637	2.6731	2.8512	2.5114	0.4944	2014.261795
Bulk Modulus	-0.801	0.2886	4	99	102.7803	475	1352	2513	4029	27.4	105.1	187.7262	373.2135	1	6.895	15.2	36.555	1678	1723	2024	3248	307.4167	287.65	423.4214	599.2542	31.75	36.63	48.62	75.975	822	611	529	865	53	47	38.0333	72.56	7.17	3	6	10.97	874	743	819	1048	104.3417	101.55	137.1833	177.8316	6.25	6.895	22.55	32.265	106	145	151	300	7	20	17	39.0072	3	1	4	8	512	412	455	688	63.45	60.5333	81.4179	137.6796	6	6.58	5	24.265	57	40	53	80	3	0	4	2.356	0	0	0	0	2153	334.8167	32.75	3075	392.75	43.525	4537	611.1476	63.82	7277	972.4676	112.53	34614	0.7794	0.9182	0.9695	0.5603	0.7324	0.8416	0.4461	0.6928	0.7618	0.4463	0.6162	0.6752	12.552	8.921	13.4498	9.1868	1.6816	1.616	1.7973	1.4318	2012.128907
